idea_index	idea
63	広さくて目的の場所へアクセスしやすい駐輪場を十分な数用意することで、交通の妨げや美観を損なうような場所に自転車を停めることを防ぐ。
64	アートとして再利用する
65	自転車が放置される場所の地面に立体アートを描く。
66	校則を徹底させ、校則に違反した場合は強制撤去の措置を取る。
67	付近に自転車置き場を設置する
68	事前通知の上で、放置自転車を積み上げたエコや環境に訴える現代アートにしてしまう。 
69	放置自転車は民間に即座に販売するという規約を設ける
70	定期的に放置自転車の回収を行い、一定期間引取りがないものは大学・生協などからレンタサイクルとして学生に貸し出す。あるいは中古自転車として格安で販売する。
71	大学のスッテッカーを貼ってもらい､校門に守衛さんがいるところなら､入校のとき外部の人かわかるようにしておくといいと思います｡（学生用でナンバーみれば誰かわかるようにする）｡
72	駐輪場を設置する。
73	地下を有効利用したオートメーション化された駐輪場を設置する。 また、あまりにも長く引き取らない場合は、有効活用をさせて頂く。
74	放置1週間の自転車にアロンアルファで プラスチックのレッドカードを張りつけ届け出がなければ業者に売る
75	放置自転車は問答無用で撤去するものとし、その張り紙・掲示などを行う。撤去の人手は、素行の悪い学生の罰則として放置自転車の整理・撤去を課し、それを先生や用務員さんで補う。
76	大学の講師陣の顔写真をパネルにし、放置自転車の多い場所に看板のように設置する。
77	該当の自転車に罰金が発生しますと注意書きを書く。
78	子どもの遊びとして、放置自転車かそうでないかを探すゲームを行い、放置自転車を見極める（学校に依頼というより、学童保育などが良いかも）。放置自転車は、収益をバイト代や活動費としてもらえる団体（サークル？）をつくる、あるいは既存のサークルに許可し、メンテナンスをして販売する。
79	定められた場所以外に置かれた自転車は定期的に全て撤去する
80	車の駐禁のように取り締まる  放置自転車が多い場所に駐輪場を作る  ちゃんと駐輪場に停めてくれている人に必ずありがとうと言う  駐輪場に止めればポイントが貯まり、貯まったポイントで食堂の割引券や食券がもらえる
