idea_index	idea
34	過去にカンニングをした人がどういう悲惨な末路を迎えたか という話をテスト前に簡潔に話す
35	信頼してるからカンニングなどしないよなと生徒に言って、プレッシャーをかける
36	机を丸く円状に配置してみてはいかがでしょうか｡
37	とてもカンニングに厳しい教師であると、生徒たちに認識させる。
38	筆記具だけを持たせて、テスト開始一分前に席を移動させる。
39	生徒の机と机の　間隔を広くする。
40	事前のカンニングをすることのデメリットを何度もレクチャーする
41	スマホなどを使って、テスト中何か所かで撮影をすると伝えておく。（実際は1か所）
42	教室に定点カメラ（スマートフォンなどで代用）を設置し、テスト後にチェックする。チェックは自身で行う。
43	カンニングしている生徒を見つけたら100点をあげる  教科書や参考書を持ち込み可でもできるテストにする  試験前にボディチェック
44	問題は変えずに大問の配列を数パターン作り、席の列ごとに違う配列の解答用紙を配る。
45	ホームルームなどで注意喚起としてカンニングした生徒の末路を話す（単位無効により留年、非常に悪質で退学、など）。他クラスの先生も巻き込むとなおよい。嘘でもよい。
46	初めに生徒は先生に全員携帯電話を預け、テストを受ける人数を半分にして隣の席をあけて他人のテストを見られないようにする。
47	テストの時だけ席替をしてカンニングしそうな生徒を前に集める
48	教室の机を英語、数学、英語。のように列で受ける科目をかえる。
49	部屋を暗くする。
50	教科書・資料持ち込み可能とし、論述式の問題を出題する。
51	A4用紙1枚のみカンニングシートの持ち込みを許可する。
52	教室の後ろから全体を眺めるようにすると挙動不審な生徒を見つけやすい
53	学生の後ろ側から監視する。テストを受けている身としては後ろに教師がいると思うと迂闊にカンニングはできない。
54	生徒を半袖・短パンの体操服に着替えさせボディチェックした上で、何も持たない状態で隣のクラスと入れ替えてテストする。
55	体操服で　テストをする
56	安価なUSBカメラでテスト中に監視を行う
57	生徒の机の側面に片側だけ高さ30センチほどの目隠し板を取り付ける。
58	カンニングを確認した生徒にはペナルティを与える。
59	テスト時の受験者の間を広くとる。
60	一生カンニングで生きていくことはできない、等カンニングが一時的な解決策でしかないことを、生徒にとく。
61	一部の問題は、解答に至るまでの式や手順の記入も必須項目に設定する。
62	普段使わない教室で、消しゴム、鉛筆などはこちらで用意し実施する
63	一目見ただけで回答を確認できてしまうような一問一答問題や選択問題の出題を極力避け、論述問題の出題を中心にすることでカンニング行為を無意味なものにする。
64	試験用の教室を用意し、手荷物は一括保管し、筆記具も用意されたものを使わせて受験させる。
65	机の並べ方を教室の四隅にそれぞれ向かうように並べたり、背中合わせになるように並べる。 持ち込みはさせず、鉛筆と消しゴム、定規などのみ机の上に置く。
66	選択問題にし、答えられないという焦りから解放する。
67	生徒に対し何を書いても７０点（及第点）以上を保障する。
68	カンニング発覚時に重いペナルティを課す
69	生徒が座っている席と席の距離を普段より離す。
70	カンニングをした生徒は即退学というルールを作る
71	テスト前に、ペーパーを募集してテストに適当なものを教室に張り出す。 張り出した上で、教師はそれを見て生徒にすこし考えさせるような他の問題を用意する。
72	テストを受ける机を毎回変えて、位置もその都度変える。
73	生徒同士の机を離した状態で向かい合うようにし、相手にカンニングがバレやすい状況をつくる。
74	机の中のものをロッカーなどにしまい、ポケットの中はからにし、鉛筆一本と消しゴムのみ、持っていいこととする？
75	「いつもの席で定期テストを受けさせず、試験ごとに席を変える」
76	テスト中に机間巡視を頻繁に行い、さらにカンニング時のペナルティを厳しくする。
77	答えを記し、その問題を作ってもらうことでカンニングのしようがなくなる
78	「段ボールなどで仕切りを作る」
79	前に立って監視するだけでなく、歩き回って監視する。
