idea_index	idea
21	例えば欠席を1点、遅刻を0.5点として10点たまってしまったらミーティングの時に缶ジュースを奢る
22	あらかじめルールやペナルティを決めておくことで、徹底させる。
23	事前に再度連絡する様にする。
24	ペナルティを設ける
25	５分はやい時刻を集合時間として伝える
26	「ミーティングに最後に来た人が全員分のコーヒー代を持つようにする。」
27	ミーティングそのものが悪いわけではなく、ミーティングの内容が興味がない、面倒だと思う内容だから集まりが悪いと思われるので、ミーティングに参加したくなるような楽しい、または参加するといいことがあるなどのメリットを設けてはいかがでしょうか。もしくは参加しないとデメリットが多く、遅くくると仕事が増えるなどの良くないことを設けるなど、明確なメリットとデメリットを設けたらいいと思います。
28	時間になったら初めて、ちゃんと来ている人で話しをして決定する それを徹底する  遅れてくる人にはみんなより早めの時間を伝える  毎回ミーティングリーダーを決めて、時間に集まっている人数を競い一位には商品や賞金を出す。 ※遅れてきた人から集めた罰金が資金
29	時間を過ぎたら中止する。対等な立場なら全員が集まれる時間から話し合う。
30	遅刻者に対してペナルティーを与える
31	ミーティングに集まった人たちには休憩時間を多く与えると事前に伝えておく。
32	1：出席に対する報酬を設ける。 2：遅刻・欠席に対するペナルティを設ける。 3：ミーティングの内容・開催時間・開催頻度を再検討する。(集まりが悪いのは、その会合に必要性を感じないからでは？)
33	遅刻者や集まらなかった者に対してペナルティを科す。
34	欠席・遅刻について、報告書の提出を義務化することで、時刻通りの出席を促す。
35	規定回数をこえた者に掃除などの罰を設ける。規定回数は3回ぐらいで。
36	事前に早く集まれば早くミーティングが終わるとアナウンスする。
37	集合時刻、開始時刻をこまめにリマインドし（決定時、3日前、前日など）、当日はその時刻が来たら集まっていなくても開始することを徹底する。
38	ミーティングに来なかった人を次回のミーティングの連絡係とする。
39	少人数制にし、面倒でも始まる前にひとりひとりに声掛けを行う。
40	グループの一括送信のメールリストをつくり、時間前に注意のメールを流し、それに返信させる。
41	集合時刻と開始時刻の二つを設定する。その差は遅刻の実績で決定する。
42	13時13分開始など、少しずれた時間での案内を行う。
43	ミーティングを始めたい時間の数時間前を開始時刻として通達する。
44	悪い→時間帯をたとえば昼休みなど出かけている合間に変えてみる、遅い→あえて端数の時間にしてみる（ぴったり0分でなく）
45	罰金、シフトを減らす、減給する。  
46	ラインやSNSを活用してこまめに連絡を取り合う。
47	時間通りに集まった人に何かメリットを与える
48	集まりが悪い・遅いメンバーにはちょっとした罰を与える
49	集まりの悪い人物をピックアップして、回数に応じて罰則を設ける。
50	「ミーティングの優先順位を共有する」
51	ミーティングをスケジューラ登録必須とし、スケジューラの通知を大画面・爆音に設定させる。 通知は10分前などではなくオンタイムとし、通知→即開催を文化として根付かせる。
52	来ない人や遅れた人にはペナルティーを与える。
53	ミーティングの前日や開始時刻2時間前などに、参加者にリマインドメールを送信することで、ミーティングを意識させる。
54	ミーティング時間を短くすることで限られた時間の重要性をアピールする
55	遅刻・欠席したら、守った人全員にペットボトル飲料をおごるという罰則を設ける。
56	リーダーがきちんと皆に呼びかける
57	時間通り参加したらお菓子やコーヒーが配られるようにする。
58	ミーティングの時間になったらきっちり始める 
59	タイムカード形式で上司またはリーダーがチェックする仕組みを作る。
60	参加者全員にミーティング開始前の連絡をミーティング担当者が行い、開始20分前に声かけを行う。
61	皆が同じ日程に集まれるとは限らないため、ミーティング開催前より日程調整を行う。
62	遅かった人に次回のミーティングの進行係をやらせる
63	遅れてきた・欠席した人に「待っていた」「あなたがいないと困る」と声をかけ、次回からの定時からの出席を意識づける
64	ミーティングが楽しくて、他の何を置いても行きたい集まりにする。
65	ミーティングに集まらない人、遅刻してくる人をピックアップして、集まらなかったり、遅刻した場合には反省文を書かせる。
66	時間厳守と伝える。
67	来ない場合・遅れた場合の罰ゲームを決めておく（みんなの前で歌を歌うとか、次回の進行役をするなどの軽めのもの）
68	全員が集まらないわけではないと思うので、特に集まりの悪い人に対しては「お前がいないと」「来てくれた助かった」という具体的に「必要としている」「感謝している」ということを伝え、ミーティングへのモチベーションを支える。
69	ミーティングの集まりに遅い人は最前列に座らせ、提案や意見などを積極的に回答させるよう求める。
70	事前にミーティングの詳細を提示。遅れたらペナルティ。集まりがいい人に関しては、褒美を
71	遅刻者に罰則を設ける 参加者には事前にアラートをメールする 遅刻無遅刻者のスコアを見える化する 会議参加者の人数を減らす 会議の開催の地点を便利な場所にする 会議の開催の時間を便利な時間にする 会議の５分前に素敵なドリンクを用意する 会議をオンラインにする 会議のアジェンダをより重要な内容してそれをより強くアピールする、あるいは、会議に無駄なアジェンダを入れないようにする
72	定刻に来なかった場合、欠席した場合など段階的に罰則を設ける。
73	ミーティングや集まりのまとめ役を求心力のある人に変更する、
74	一番遅かった人にペナルティーを設けると、宣言する。
75	時間を無駄にすることでいくらのコストがかかるか見えるようにする。それでも改善なき場合は、ちょっとした罰金制にする。
76	ミーティングに意図的に来なかったり遅れるような人を戦力と考えるのがそもそも間違い。
77	ミーティングの内容を見直すべき。やる気が出てくる内容だと集まりはよくなるはず
78	お茶やお菓子を用意して、雰囲気を和らげる。
79	ミーティングに欠席した人や遅刻した人が、次のミーティングを仕切らなければならないようにする。
